id,latitude,longitude,group
1002,55.3822641,14.0526813,south_sweden
1061,55.7167,14.1333,south_sweden
1062,55.7167,14.1333,south_sweden
1063,55.7167,14.1333,south_sweden
1158,56.7,16.5167,south_sweden
1254,59.4333,17.0167,north_sweden
1257,59.4333,17.0167,north_sweden
1317,59.5667,16.8667,admixed
1552,63.0833,18.3667,north_sweden
5830,56.3130014,15.9807762,south_sweden
5831,56.3130014,15.9807762,south_sweden
5856,63.0091989,17.4849587,north_sweden
5865,55.7565106,14.1231006,south_sweden
5867,55.7570661,14.1220385,south_sweden
6011,62.8759855,18.1749827,north_sweden
6012,62.8759855,18.1749827,north_sweden
6013,62.8759855,18.1749827,north_sweden
6017,62.9147,18.4045,north_sweden
6019,56.0617671,14.2786489,south_sweden
6020,56.0617671,14.2786489,south_sweden
6021,56.068008,14.281492,south_sweden
6023,55.7501271,13.3720798,south_sweden
6024,55.7501271,13.3720798,south_sweden
6025,62.6381,17.7311,north_sweden
6030,62.806,18.1896,north_sweden
6034,56.0755241,13.7453108,south_sweden
6035,56.0755241,13.7453108,south_sweden
6036,56.1045244,13.7249024,south_sweden
6038,56.1045244,13.7249024,south_sweden
6039,56.1132251,13.7296953,admixed
6040,55.66,13.4,south_sweden
6041,56.0089259,14.7427433,south_sweden
6043,62.8003225,18.075722,north_sweden
6046,62.8003225,18.075722,north_sweden
6064,62.9513,18.2763,north_sweden
6069,62.9513,18.2763,north_sweden
6070,62.956806,18.339997,north_sweden
6071,62.956806,18.339997,north_sweden
6073,56.1460908,15.7779722,south_sweden
6074,56.4573992,16.1301702,south_sweden
6076,55.7170459,13.4354695,south_sweden
6085,55.709434,13.2155403,south_sweden
6086,58.9,11.2,admixed
6088,56.465642,16.1302444,south_sweden
6090,55.6525,13.2197,south_sweden
6092,55.6514,13.2233,south_sweden
6094,55.6494,13.2147,south_sweden
6097,55.6481,13.2264,south_sweden
6098,55.6561,13.2178,south_sweden
6099,55.6532394,13.2193742,south_sweden
6100,55.6465188,13.2226591,south_sweden
6102,55.6484554,13.2240307,south_sweden
6104,55.6995163,13.2078964,south_sweden
6105,55.7912838,13.1166475,south_sweden
6106,55.7892517,13.1151131,south_sweden
6107,55.789833,13.1172969,south_sweden
6108,55.7925311,13.1162548,western_europe
6109,55.7895346,13.1113481,south_sweden
6111,55.7928025,13.1104309,south_sweden
6112,55.7908676,13.09336,south_sweden
6113,55.7976997,13.0996565,south_sweden
6114,55.7990936,13.1296295,south_sweden
6115,55.7932875,13.1326552,south_sweden
6118,55.7138306,13.1745511,south_sweden
6122,55.8350143,13.2954193,south_sweden
6124,55.8362185,13.2995709,south_sweden
6125,55.8371341,13.2984818,south_sweden
6126,55.8379372,13.3002261,south_sweden
6128,55.8397,13.2881,south_sweden
6131,55.8369,13.3181,south_sweden
6132,55.8386,13.3186,south_sweden
6133,55.8422437,13.2995693,south_sweden
6134,55.8383,13.2906,south_sweden
6136,55.9336,13.5519,south_sweden
6137,55.9419,13.5603,south_sweden
6138,55.9403,13.5511,south_sweden
6140,55.9392,13.5539,south_sweden
6142,55.9428,13.5558,south_sweden
6145,55.9497,13.5533,south_sweden
6148,55.9319,13.5508,south_sweden
6149,55.9281,13.5481,south_sweden
6150,55.9261,13.5319,south_sweden
6151,55.6528,13.2244,south_sweden
6153,62.6381,17.7311,north_sweden
6154,62.6381,17.7311,north_sweden
6163,62.6381,17.7311,north_sweden
6166,62.6381,17.7311,north_sweden
6169,62.8622,18.336,north_sweden
6172,62.8622,18.336,north_sweden
6173,62.8622,18.336,north_sweden
6177,62.6252,17.6771,north_sweden
6180,62.6252,17.6771,germany
6184,62.8794,18.4473,north_sweden
6189,55.758856,14.1328223,south_sweden
6191,55.758856,14.1328223,south_sweden
6192,55.758856,14.1328223,south_sweden
6193,55.758856,14.1328223,south_sweden
6194,55.758856,14.1328223,south_sweden
6195,55.758856,14.1328223,south_sweden
6198,55.7567793,14.1225226,south_sweden
6201,55.7567793,14.1225226,south_sweden
6202,55.7567793,14.1225226,south_sweden
6203,55.7567793,14.1225226,south_sweden
6209,62.8759855,18.1749827,north_sweden
6210,62.8759855,18.1749827,north_sweden
6216,63.0165,18.3174,north_sweden
6217,63.0165,18.3174,north_sweden
6218,63.0165,18.3174,north_sweden
6220,62.806,18.1896,north_sweden
6221,62.806,18.1896,north_sweden
6231,62.9513,18.2763,north_sweden
6237,62.956806,18.339997,north_sweden
6238,62.956806,18.339997,north_sweden
6240,62.956806,18.339997,north_sweden
6241,62.956806,18.339997,north_sweden
6243,55.95,13.85,central_europe
6244,62.9169,18.4728,north_sweden
6252,55.5796,14.3336,germany
6255,55.5796,14.3336,germany
6258,55.5796,14.3336,admixed
6276,55.5796,14.3336,germany
6284,55.5796,14.3336,south_sweden
6413,56.0630848,13.9583592,south_sweden
6913,62.8759855,18.1749827,north_sweden
6917,63.0165,18.3174,north_sweden
6918,63.0165,18.3174,north_sweden
6974,56.0648,13.9707,south_sweden
7002,51.3333,6.1,germany
7517,55.58,14.334,germany
8222,56.0089259,14.7427433,south_sweden
8227,62.7920572,17.898516,north_sweden
8230,56.68,16.5,south_sweden
8231,56.3065535,15.9960089,south_sweden
8237,55.8,13.1,south_sweden
8240,55.705,13.196,south_sweden
8242,56.1510312,15.7832574,south_sweden
8247,56.0692873,13.7407939,south_sweden
8256,56.4487477,12.9040338,admixed
8258,56.4487477,12.9040338,south_sweden
8259,56.4487477,12.9040338,south_sweden
8283,55.7599276,14.1262764,south_sweden
8307,56.1132251,13.7296953,south_sweden
8334,55.71,13.2,admixed
8351,60.25,18.37,north_sweden
8369,55.7170459,13.4354695,south_sweden
8376,62.6897799,17.997819,north_sweden
8386,58.9,11.2,central_europe
8387,59,18,germany
8422,56.0617671,14.2786489,south_sweden
8426,56.0681098,13.9589922,south_sweden
9057,56.1,13.9167,south_sweden
9058,57.75,16.6333,admixed
9321,62.8622,18.336,north_sweden
9323,62.8622,18.336,north_sweden
9332,62.8698,18.381,north_sweden
9336,62.8794,18.4473,admixed
9339,57.7133,15.0689,south_sweden
9343,57.3089,18.1512,admixed
9352,57.2608,16.3675,south_sweden
9353,57.2608,16.3675,south_sweden
9363,62.9147,18.4045,north_sweden
9369,57.6781,14.9986,south_sweden
9371,63.016,18.3175,north_sweden
9380,55.7488,13.3742,south_sweden
9381,55.8106,14.2091,admixed
9382,55.8106,14.2091,admixed
9383,55.8106,14.2091,admixed
9386,62.806,18.1896,north_sweden
9388,62.806,18.1896,north_sweden
9390,57.3263,15.8979,south_sweden
9391,57.3263,15.8979,south_sweden
9392,57.3263,15.8979,south_sweden
9394,56.5804,16.4063,admixed
9395,57.5089,15.0105,south_sweden
9399,55.4234,13.9905,south_sweden
9402,57.8765,14.8549,south_sweden
9404,55.7491,13.399,south_sweden
9405,55.7491,13.399,south_sweden
9407,55.7491,13.399,south_sweden
9408,56.047,13.9519,south_sweden
9409,56.0573,14.302,south_sweden
9412,57.2746,16.1494,south_sweden
9413,57.2746,16.1494,south_sweden
9416,57.7215,18.3837,south_sweden
9421,55.9745,14.3997,south_sweden
9427,62.8815,18.4055,north_sweden
9433,62.9513,18.2763,north_sweden
9437,56.1633,14.6806,south_sweden
9450,57.2545,18.2109,south_sweden
9451,57.2545,18.2109,south_sweden
9452,57.2545,18.2109,south_sweden
9453,57.8009,18.5162,south_sweden
9454,57.8009,18.5162,south_sweden
9455,57.8009,18.5162,south_sweden
9470,57.6511,14.8043,south_sweden
9471,56.0648,13.9707,south_sweden
9476,55.5796,14.3336,germany
9481,55.4242,13.8484,south_sweden
991,55.3822641,14.0526813,south_sweden
992,55.3822641,14.0526813,south_sweden
997,55.3822641,14.0526813,south_sweden
175,47.3833,5.31667,NA
1074,55.7167,14.1333,NA
1318,59.5667,16.8667,NA
